State,Date,Total,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,dayofweek,month,week
Pennsylvania,2019-11-17,202076105,14151732.0,198142592.0,51251705.0,,6403718.082606531,6,11,46
Oregon,2019-11-17,61015742,202076105.0,188606221.0,95171405.0,,1431219.6048428845,6,11,46
New Mexico,2019-11-17,37154366,61015742.0,245240120.0,497063952.0,,1544107.4660760846,6,11,46
Ohio,2019-11-17,200628466,37154366.0,37278450.0,59494648.0,,8303962.018083767,6,11,46
North Carolina,2019-11-17,187088913,200628466.0,29727550.0,120785283.0,,9951130.795694357,6,11,46
New York,2019-11-17,239914025,187088913.0,56627804.0,84657735.0,,8921361.255271522,6,11,46
Oklahoma,2019-11-17,78375343,239914025.0,14151732.0,172375681.0,143750422.85714287,3024879.465076468,6,11,46
Rhode Island,2019-11-17,13802172,78375343.0,202076105.0,38349706.0,116854146.71428572,535238.2205905633,6,11,46
Texas,2019-11-17,478104629,13802172.0,61015742.0,12021378.0,176438273.42857143,23665136.295067597,6,11,46
South Dakota,2019-11-17,16008107,478104629.0,37154366.0,17193457.0,173417379.2857143,370327.6901333146,6,11,46
Tennessee,2019-11-17,135190491,16008107.0,200628466.0,102978285.0,164069097.14285713,7550984.9190437365,6,11,46
Utah,2019-11-17,46091047,135190491.0,187088913.0,102493531.0,143926544.85714287,1161181.7349869416,6,11,46
Vermont,2019-11-17,9824944,46091047.0,239914025.0,155391291.0,111056676.14285715,346743.9014819904,6,11,46
Virginia,2019-11-17,151880467,9824944.0,78375343.0,9914387.0,121557408.14285715,7338018.663729204,6,11,46
Washington,2019-11-17,103838635,151880467.0,13802172.0,44258186.0,134419760.0,2036222.7203830015,6,11,46
West Virginia,2019-11-17,38165784,103838635.0,478104629.0,483320679.0,71571353.57142857,2718003.2705603163,6,11,46
New Hampshire,2019-11-17,29354792,38165784.0,16008107.0,136324595.0,73478022.85714285,610657.6700522306,6,11,46
South Carolina,2019-11-17,98576580,29354792.0,135190491.0,15098715.0,68247464.14285715,5698200.407458649,6,11,46
Nevada,2019-11-17,55198522,98576580.0,46091047.0,101041837.0,69548532.0,1526763.734394062,6,11,46
Kansas,2019-11-17,48710294,55198522.0,9824944.0,40368204.0,75103582.0,873429.0645564762,6,11,46
Missouri,2019-11-17,104244425,48710294.0,151880467.0,200157093.0,68298433.14285715,3187232.846543205,6,11,46
Arizona,2019-11-17,116490977,104244425.0,103838635.0,61552925.0,70105910.57142857,2187473.883610422,6,11,46
Arkansas,2019-11-17,58265259,116490977.0,38165784.0,79735847.0,72977264.14285715,3568771.964288123,6,11,46
California,2019-11-17,486794359,58265259.0,29354792.0,198142592.0,138325773.7142857,7810857.641692213,6,11,46
Colorado,2019-11-17,94977961,486794359.0,98576580.0,188606221.0,137811685.2857143,2515073.240502885,6,11,46
Connecticut,2019-11-17,49800476,94977961.0,55198522.0,245240120.0,137040535.85714287,2099650.338344254,6,11,46
Florida,2019-11-17,388918011,49800476.0,48710294.0,37278450.0,185641638.2857143,4512815.004145146,6,11,46
Georgia,2019-11-17,201290193,388918011.0,104244425.0,29727550.0,199505319.42857143,12410738.872320676,6,11,46
Illinois,2019-11-17,175223243,201290193.0,116490977.0,56627804.0,207895643.14285713,4636023.58972054,6,11,46
Nebraska,2019-11-17,17020702,175223243.0,58265259.0,14151732.0,202003563.57142857,197735.8047941023,6,11,46
Indiana,2019-11-17,118206970,17020702.0,486794359.0,202076105.0,149348222.2857143,4265586.757632052,6,11,46
Kentucky,2019-11-17,92285214,118206970.0,94977961.0,61015742.0,148963544.14285713,5111156.227929275,6,11,46
Louisiana,2019-11-17,97123839,92285214.0,49800476.0,37154366.0,155724024.57142857,6251320.658199641,6,11,46
Maine,2019-11-17,25124019,97123839.0,388918011.0,200628466.0,103753454.28571428,893653.4246511955,6,11,46
Maryland,2019-11-17,90307205,25124019.0,201290193.0,187088913.0,87898741.71428572,3241881.470298692,6,11,46
Massachusetts,2019-11-17,101260431,90307205.0,175223243.0,239914025.0,77332625.71428572,1873546.3332553245,6,11,46
Michigan,2019-11-17,160513280,101260431.0,17020702.0,78375343.0,97831565.42857143,3909387.3060987,6,11,46
Minnesota,2019-11-17,88150642,160513280.0,118206970.0,13802172.0,93537804.28571428,1193695.1438745037,6,11,46
Mississippi,2019-11-17,36392273,88150642.0,92285214.0,478104629.0,85553098.42857143,2917913.677493128,6,11,46
Iowa,2019-11-17,64211461,36392273.0,97123839.0,16008107.0,80851330.14285715,724151.8882485913,6,11,46
Alabama,2019-11-17,109056410,64211461.0,25124019.0,135190491.0,92841671.71428572,7714871.734383121,6,11,46
Wyoming,2019-11-17,12048604,109056410.0,90307205.0,46091047.0,81661871.57142857,358059.88679116894,6,11,46
Wisconsin,2019-11-17,86704220,12048604.0,101260431.0,9824944.0,79582412.85714285,1183546.2064875797,6,11,46
West Virginia,2019-11-24,38850553,86704220.0,160513280.0,151880467.0,62202023.28571428,1521145.3029810004,6,11,47
Nebraska,2019-11-24,18010858,38850553.0,88150642.0,103838635.0,52182054.14285714,428954.78083298693,6,11,47
Nevada,2019-11-24,53734862,18010858.0,36392273.0,38165784.0,54659566.85714286,1027063.273356097,6,11,47
New Hampshire,2019-11-24,30142040,53734862.0,64211461.0,29354792.0,49792506.71428572,569974.0458127393,6,11,47
New Mexico,2019-11-24,37217286,30142040.0,109056410.0,98576580.0,39529774.71428572,1000700.2150032857,6,11,47
New York,2019-11-24,249630625,37217286.0,12048604.0,55198522.0,73470063.42857143,6819682.074350423,6,11,47
North Carolina,2019-11-24,188661091,249630625.0,86704220.0,48710294.0,88035330.71428572,5362443.332363044,6,11,47
Ohio,2019-11-24,204767243,188661091.0,38850553.0,104244425.0,111737715.0,5011672.616460141,6,11,47
Oklahoma,2019-11-24,78566416,204767243.0,18010858.0,116490977.0,120388509.0,1440571.6175618072,6,11,47
Oregon,2019-11-24,60959599,78566416.0,53734862.0,58265259.0,121420614.28571428,962219.3525838656,6,11,47
Pennsylvania,2019-11-24,205134229,60959599.0,30142040.0,486794359.0,146419498.42857143,4303638.371016704,6,11,47
Rhode Island,2019-11-24,14064840,205134229.0,37217286.0,94977961.0,143112006.14285713,342332.47544490773,6,11,47
South Carolina,2019-11-24,100831193,14064840.0,249630625.0,49800476.0,121854944.42857143,3166721.3691179384,6,11,47
South Dakota,2019-11-24,15467801,100831193.0,188661091.0,388918011.0,97113045.85714285,368982.2715282443,6,11,47
Tennessee,2019-11-24,139393955,15467801.0,204767243.0,201290193.0,87774004.71428572,3378742.7928994214,6,11,47
Texas,2019-11-24,490235899,139393955.0,78566416.0,175223243.0,146583930.85714287,12324707.086099483,6,11,47
